"","lat","long","depth","mag","stations"
"2581",36.4453,-116.6201,4.4,0.2,9
"2582",68.8733,-146.8255,1.2,1.5,1
"2583",61.5165,-150.2193,41.9,1.6,1
"2584",36.7032,-116.2135,1.8,-0.3,9
"2585",37.6335,-119.03883,1.92,-0.29,2
"2586",37.88833,-113.67067,0.08,1.4,14
"2587",61.5218,-150.2046,45.7,1.1,1
"2588",38.09967,-122.8495,12.94,1.2,2
"2589",37.89183,-113.66833,0.04,2.87,14
"2590",65.6079,-151.9491,18.6,1.4,1
"2591",37.0161,-116.2281,3.7,-0.2,9
"2592",33.50367,-116.8,3.88,0.72,2
"2593",19.8361,-65.9615,88,3.38,3
"2594",61.4155,-149.9196,35.3,2.5,1
"2595",61.4874,-149.9183,40.3,1.1,1
"2596",62.305,-142.526,4.4,1,1
"2597",38.83583,-122.79383,2.21,1.54,2
"2598",61.2739,-149.9349,45.9,1,1
"2599",33.83417,-116.74033,13.69,0.53,2
"2600",61.7582,-149.8966,47.3,1.2,1
"2601",37.60133,-118.94967,0.78,0,2
"2602",69.5208,-144.4608,4.9,1.2,1
"2603",60.6735,-152.7515,9.72,-0.07,1
"2604",-7.4032,128.5001,160.15,4.3,13
"2605",37.60017,-119.00333,1.29,0.27,2
"2606",61.4154,-150.0834,43.4,1,1
"2607",61.4723,-150.1221,35.6,1.4,1
"2608",32.77083,-115.43333,11.26,1.38,2
"2609",60.1528,-151.1331,67.5,1.6,1
"2610",61.5051,-150.2367,45,1.5,1
"2611",63.2036,-151.8477,4.6,1.9,1
"2612",61.5051,-150.2258,45.5,1.2,1
"2613",33.50867,-116.79817,5.41,0.55,2
"2614",-39.8745,174.9295,110.85,4.9,13
"2615",-33.4784,-177.9345,10,5.1,13
"2616",61.4577,-150.0807,39.7,1.5,1
"2617",35.57933,-118.36283,4.03,1.22,2
"2618",-18.6257,-71.0399,10.42,4.1,13
"2619",61.3027,-150.1076,39.9,1.7,1
"2620",61.9281,-150.9165,70,1.4,1
"2621",38.75867,-122.73133,2.12,1.07,2
"2622",61.5345,-150.2469,43.7,1.7,1
"2623",-14.7157,-71.9011,91.51,4.3,13
"2624",60.1606,-140.9614,10,1.2,1
"2625",61.5017,-150.2167,46.8,2.3,1
"2626",-18.072,-178.2776,550.51,4.2,13
"2627",61.537,-150.229,43.8,1.4,1
"2628",44.778,-111.09017,10.04,0.76,14
"2629",33.02767,-115.558,6.1,1.12,2
"2630",61.4981,-150.2425,44.5,1.2,1
"2631",-14.4978,-76.3351,10,4.2,13
"2632",61.5011,-150.2408,45.9,1.3,1
"2633",33.49733,-116.78,6.93,0.24,2
"2634",61.3826,-150.02,44.4,1.2,1
"2635",61.7413,-149.6692,46.6,1.2,1
"2636",61.5409,-150.2641,47,1.3,1
"2637",43.94267,-115.27233,3.76,1.7,7
"2638",45.8655,-111.36183,4.08,1.34,7
"2639",35.64583,-84.14467,8.64,0.99,12
"2640",37.63717,-118.97333,4.37,0.21,2
"2641",38.5661,-118.5197,0,0.8,9
"2642",38.5623,-118.5181,5.4,1,9
"2643",61.503,-150.2373,45.5,4.5,1
"2644",39.4126,-119.9275,7.8,0.8,9
"2645",62.6652,-153.9426,9,1,1
"2646",61.3991,-149.77,24,1.5,1
"2647",37.63333,-118.79833,3.26,0.53,2
"2648",37.64083,-118.80933,1.73,0.51,2
"2649",35.83867,-121.33617,10.24,2.54,2
"2650",17.5071,-65.436,11,2.95,3
"2651",33.49217,-116.7895,4.68,0.54,2
"2652",59.9436,-152.9247,111.4,2.3,1
"2653",19.4995,-155.48733,0.06,1.15,4
"2654",36.6289,-118.3159,11.5,1.1,9
"2655",38.83417,-122.79366,1.75,1.1,2
"2656",38.81933,-122.7655,1.65,0.41,2
"2657",61.4321,-150.0463,39.2,1.3,1
"2658",66.1589,-158.3233,4.3,1.4,1
"2659",61.4175,-150.1101,41.8,1.1,1
"2660",37.5539,-117.267,4.2,1.2,9
"2661",69.5528,-144.4319,3.6,1.2,1
"2662",-6.1925,154.2299,35,4.5,13
"2663",61.3122,-141.7627,6.9,1,1
"2664",37.59633,-118.94383,0.43,0.17,2
"2665",19.0611,-67.634,13,2.83,3
"2666",39.1237,-119.7252,10,0.1,9
"2667",61.4536,-150.0031,44.7,1.1,1
"2668",36.03683,-117.775,2.09,0.85,2
"2669",69.5378,-144.4525,14.7,1,1
"2670",65.5818,-166.7874,12.5,0.9,1
"2671",18.9368,-67.6331,84,3.07,3
"2672",61.381,-150.1,43.7,1.1,1
"2673",37.5945,-118.94233,0.61,0.88,2
"2674",33.2255,-116.74333,10.96,0.48,2
"2675",38.80817,-122.81316,1.74,1,2
"2676",19.0611,-68.92,87,3.49,3
"2677",33.49533,-116.78717,5.64,0.47,2
"2678",18.0078,-68.389,58,2.87,3
"2679",61.131,-147.3104,10.5,1.1,1
"2680",37.60817,-122.01133,2.18,1.86,2
"2681",33.22283,-116.7405,11.45,0.55,2
"2682",61.4368,-149.9293,34.4,1.3,1
"2683",34.30467,-120.61217,0.01,2.25,2
"2684",38.77567,-122.74316,0.63,1.13,2
"2685",39.7932,-119.454,12.5,-0.3,9
"2686",19.18417,-155.68583,0.08,2.18,4
"2687",45.19333,-112.80117,11.33,0.93,7
"2688",61.4248,-150.0395,42.4,1.1,1
"2689",59.5866,-153.6647,119.5,2.3,1
"2690",39.1814,-120.0894,10.7,-0.2,9
"2691",35.8585,-117.77217,7.23,0.77,2
"2692",61.4639,-150.0655,36,2.3,1
"2693",61.2341,-151.8996,13.1,0.7,1
