locationSource,place,stations
ak,Alaska,1
av,Alaska,1
ci,California,3
guc,Puerto Rico,4
hv,Hawaii,5
ismp,Oklahoma-Kansas,6
ld,France,7
mb,Montana,8
nc,California,3
nm,Mexico,10
nn,Tennessee-Arkansas-Missouri,11
ok,Oklahoma,Kansas,12
ott,Canada,13
pr,Puerto Rico,14
pt,Argentina,15
se,US South East,16
us,Asia and Europe,17
uu,Utah,18
uw,Washington-Canada-Oregon,19
